Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Grupo,Mes_Ano_Avaliacao,Categoria,Endemica_Brasil,Consta_em_Lista_Nacional_Oficial,Estado,Regiao,Bioma,UC_Federal,UC_Estadual,RPPN,Tendencia_Populacional,Ameaca
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Plebeia,Plebeia grapiuna,Invertebrados Terrestres,04/2022,Quase Ameaçada,Sim,Não,Bahia,|Nordeste|,Mata Atlântica,,,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pareiorhaphis,Pareiorhaphis scutula,Peixes Continentais,10/2021,Menos Preocupante,Sim,Sim,Minas Gerais,|Sudeste|,Mata Atlântica,PARNA da Serra do Gandarela,ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH,,Desconhecida,3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo 3 - Produção energética e mineração|3.2 - Mineração|3.2.4 - Extração de minérios - garimpo 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.2 - Uso intencional - larga escala
Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,Brycon dulcis,Peixes Continentais,05/2022,Vulnerável,Sim,Não,"Espírito Santo, Minas Gerais",|Sudeste|,Mata Atlântica,,PARQUE ESTADUAL DO RIO DOCE,,Declinando,3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.11 - Represas (tamanho desconhecido) 7 - Modificações nos sistemas naturais|7.3 - Outras modificações nos ecossistemas 8 - Espécies invasoras problemáticas e doenças|8.1 - Espécies exóticas|8.1.1 - Espécie conhecida|8.1.1.1 - Competidores 8 - Espécies invasoras problemáticas e doenças|8.1 - Espécies exóticas|8.1.1 - Espécie conhecida|8.1.1.2 - Predadores 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.1 - Esgoto 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.2 - Escoamento urbano 9 - Poluição|9.3 - Agropecuária e florestal|9.3.2 - Erosão do solo/sedimentação
Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,Amphisbaena nigricauda,Répteis,03/2021,Vulnerável,Sim,Sim,"Bahia, Espírito Santo",|Nordeste|Sudeste|,Mata Atlântica,REBIO de Sooretama,ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 3 - Produção energética e mineração|3.2 - Mineração|3.2.1 - Extração de areia 4 - Transportes e serviços de transmissão|4.3 - Portos
Animalia,Mollusca,Gastropoda,Caenogastropoda,Tateidae,Potamolithus,Potamolithus karsticus,Invertebrados de Água Doce,02/2023,Em Perigo,Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,,,,Desconhecida,2 - Agropecuária e Aquacultura|2.3 - Pecuária 3 - Produção energética e mineração|3.2 - Mineração 6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hisonotus,Hisonotus notatus,Peixes Continentais,02/2025,Quase Ameaçada,Sim,Não,Rio de Janeiro,|Sudeste|,Mata Atlântica,"APA Bacia do Rio São João/Mico-Leão-Dourado, REBIO do Tinguá","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU","RPPN El Nagual, RPPN Fazenda Arco-Íris",Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.1 - Esgoto 9 - Poluição|9.2 - Industrial|9.2.4 - Tipo desconhecido
Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdella,Rhamdella exsudans,Peixes Continentais,10/2024,Dados Insuficientes,Sim,Não,Rio de Janeiro,|Sudeste|,Mata Atlântica,,,,Desconhecida,
Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Trogolaphysa,Trogolaphysa barroca,Invertebrados Terrestres,03/2025,Vulnerável,Sim,Não,Minas Gerais,|Sudeste|,Mata Atlântica,,,,Desconhecida,3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,Manduca diffissa,Invertebrados Terrestres,12/2024,Menos Preocupante,Não,Não,"Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Roraima, Santa Catarina, São Paulo",|Centro-Oeste|Nordeste|Norte|Sudeste|Sul|,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa","APA Chapada do Araripe, APA Petrópolis, APA Planalto Central, APA Serra da Mantiqueira, ESEC de Maracá, ESEC Seridó, FLONA Itacaiunas, PARNA da Chapada Diamantina, PARNA da Chapada dos Veadeiros, PARNA da Serra dos Órgãos, PARNA de Itatiaia, PARNA do Caparaó, PARNA Jaú, PARNA Serra do Pardo, REBIO Augusto Ruschi, REBIO do Gurupi, REBIO Guaribas","APA CAMPOS DO JORDÃO, APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO, APA JUNDIAí, APA SAPUCAí MIRIM, APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI, ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DOS PIRINEUS","RPPN Caetezal, RPPN CEFLUSMME, RPPN Fattoria Grigia, RPPN Fazenda Limeira, RPPN Fazenda Suspiro, RPPN Frei Caneca, RPPN Gleba O Saquinho de Itapirapuá, RPPN - Reserva Ecológica do Panga, RPPN Sítio Curucutu, RPPN Sítio do Bananal",Desconhecida,
Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Chaetomys,Chaetomys subspinosus,Mamíferos,09/2021,Menos Preocupante,Sim,Sim,"Bahia, Espírito Santo, Minas Gerais, Sergipe",|Nordeste|Sudeste|,"Mata Atlântica, Sistema Costeiro-Marinho","FLONA do Rio Preto, PARNA do Descobrimento, PARNA do Monte Pascoal, PARNA do Pau Brasil, PARNA Serra das Lontras, REBIO Augusto Ruschi, REBIO Comboios, REBIO de Sooretama, REBIO de Una, REBIO do Córrego do Veado, REBIO do Córrego Grande, REVIS Una","ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU, ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS, ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA","MATA DO PASSARINHO, RPPN Rio do Brasil II",Declinando,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.2 - Agricultura em pequenas propriedades 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo) 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios
